,open,high,low,close,volume,symbol
2020-01-15,88.4,88.53,88.39,88.4,24637893.0,HYG
2020-01-14,88.37,88.485,88.28,88.38,29157050.0,HYG
2020-01-13,88.4,88.45,88.35,88.39,17762410.0,HYG
2020-01-10,88.37,88.41,88.3,88.39,16182904.0,HYG
2020-01-09,88.24,88.37,88.17,88.36,16649467.0,HYG
2020-01-08,88.07,88.23,88.02,88.13,16088142.0,HYG
2020-01-07,88.14,88.16,88.04,88.05,9640251.0,HYG
2020-01-06,88.11,88.18,88.05,88.13,17936922.0,HYG
2020-01-03,88.12,88.28,88.04,88.22,17342238.0,HYG
2020-01-02,88.1,88.32,88.05,88.31,15756596.0,HYG
2019-12-31,87.86,87.95,87.8064,87.94,8310798.0,HYG
2019-12-30,88.0,88.017,87.77,87.86,12668122.0,HYG
2019-12-27,88.02,88.02,87.89,87.92,11627113.0,HYG
2019-12-26,87.94,87.99,87.89,87.96,11382698.0,HYG
2019-12-24,87.78,87.83,87.73,87.83,4854905.0,HYG
2019-12-23,87.75,87.8,87.73,87.76,9720215.0,HYG
2019-12-20,87.95,87.99,87.7,87.72,31918833.0,HYG
2019-12-19,87.91,87.925,87.72,87.85,29429266.0,HYG
2019-12-18,88.09,88.25,88.061,88.21,31575665.0,HYG
2019-12-17,87.79,88.05,87.785,88.05,18642049.0,HYG
2019-12-16,87.74,87.83,87.7,87.78,17416145.0,HYG
2019-12-13,87.55,87.645,87.5,87.61,18088106.0,HYG
2019-12-12,87.36,87.605,87.33,87.52,18958089.0,HYG
2019-12-11,87.16,87.34,87.09,87.32,14056003.0,HYG
2019-12-10,86.93,87.15,86.9,87.14,15117133.0,HYG
2019-12-09,86.9,87.0,86.9,86.93,18034328.0,HYG
2019-12-06,86.95,87.01,86.85,86.93,16094658.0,HYG
2019-12-05,86.74,86.81,86.58,86.81,18158919.0,HYG
2019-12-04,86.46,86.71,86.46,86.68,12406761.0,HYG
2019-12-03,86.34,86.47,86.24,86.42,31143890.0,HYG
2019-12-02,86.63,86.63,86.35,86.54,21488980.0,HYG
2019-11-29,87.11,87.11,86.93,86.94,11519522.0,HYG
2019-11-27,86.99,87.15,86.95,87.13,11814692.0,HYG
2019-11-26,86.95,87.02,86.9,87.02,13223943.0,HYG
2019-11-25,86.71,86.94,86.71,86.92,17800782.0,HYG
2019-11-22,86.49,86.69,86.4,86.69,20934754.0,HYG
2019-11-21,86.43,86.45,86.27,86.36,19245232.0,HYG
2019-11-20,86.47,86.58,86.33,86.34,22872970.0,HYG
2019-11-19,86.74,86.75,86.52,86.52,20175961.0,HYG
2019-11-18,86.87,86.9,86.79,86.83,14065650.0,HYG
2019-11-15,86.77,86.95,86.76,86.94,14346965.0,HYG
2019-11-14,86.74,86.8,86.65,86.68,14976104.0,HYG
2019-11-13,86.73,86.765,86.68,86.73,15593910.0,HYG
2019-11-12,86.75,86.89,86.73,86.82,14688179.0,HYG
2019-11-11,86.77,86.84,86.68,86.8,7812525.0,HYG
2019-11-08,86.76,86.88,86.64,86.85,11775510.0,HYG
2019-11-07,86.94,86.98,86.7501,86.77,15307831.0,HYG
2019-11-06,86.91,86.91,86.784,86.81,9498129.0,HYG
2019-11-05,87.07,87.08,86.82,86.91,21949391.0,HYG
2019-11-04,86.98,87.05,86.94,87.0,14946357.0,HYG
2019-11-01,86.59,86.91,86.58,86.82,24299754.0,HYG
2019-10-31,87.09,87.1,86.79,86.81,25479026.0,HYG
2019-10-30,87.27,87.28,87.0,87.11,24949822.0,HYG
