,open,high,low,close,volume,symbol
2020-03-31,6.13,7.84,6.0,6.88,26464361.0,TLRY
2020-03-30,8.31,8.51,6.5,6.61,20631495.0,TLRY
2020-03-27,9.0,10.6,8.5,9.1,55330606.0,TLRY
2020-03-26,5.93,9.7,5.91,7.9,70595163.0,TLRY
2020-03-25,4.17,5.74,3.72,5.04,26072998.0,TLRY
2020-03-24,4.41,4.41,3.9,4.02,8237005.0,TLRY
2020-03-23,4.07,4.1,3.25,3.85,9254315.0,TLRY
2020-03-20,4.4,5.33,3.6,3.65,26545684.0,TLRY
2020-03-19,2.6,3.98,2.55,3.85,19894055.0,TLRY
2020-03-18,2.7838,2.89,2.43,2.47,4922325.0,TLRY
2020-03-17,3.2,3.2,2.68,2.9,9005263.0,TLRY
2020-03-16,3.55,3.64,3.04,3.05,6982795.0,TLRY
2020-03-13,4.92,5.03,3.8,4.025,12744875.0,TLRY
2020-03-12,6.1,6.89,5.93,5.95,2800461.0,TLRY
2020-03-11,7.5,8.22,7.05,7.09,3346434.0,TLRY
2020-03-10,8.34,8.38,7.598,7.84,3498133.0,TLRY
2020-03-09,8.26,9.3,7.62,7.67,4552882.0,TLRY
2020-03-06,10.29,10.94,10.0,10.02,2884042.0,TLRY
2020-03-05,12.06,12.3899,11.08,11.2,3777853.0,TLRY
2020-03-04,13.45,13.45,12.25,12.51,4139405.0,TLRY
2020-03-03,13.0,14.1899,13.0,13.02,5689997.0,TLRY
2020-03-02,14.74,15.62,13.55,15.35,5001481.0,TLRY
2020-02-28,13.75,14.43,13.2,14.43,3601624.0,TLRY
2020-02-27,15.25,15.39,14.0,14.54,3333392.0,TLRY
2020-02-26,16.6,17.01,15.78,15.89,2900374.0,TLRY
2020-02-25,17.6,17.6078,16.4,16.57,1981180.0,TLRY
2020-02-24,17.98,18.1499,17.1,17.29,3035431.0,TLRY
2020-02-21,19.28,19.82,18.53,19.37,2343001.0,TLRY
2020-02-20,18.55,21.09,18.05,19.24,7513009.0,TLRY
2020-02-19,17.1,18.54,17.0602,18.51,3339066.0,TLRY
2020-02-18,17.3,17.88,16.75,17.1,2252743.0,TLRY
2020-02-14,17.21,17.98,16.7,17.39,5792872.0,TLRY
2020-02-13,16.21,16.74,16.01,16.13,2428931.0,TLRY
2020-02-12,16.92,16.96,16.22,16.33,1885523.0,TLRY
2020-02-11,15.89,17.1775,15.87,16.86,3032389.0,TLRY
